Epoch,Type,Group,Value
5,Loss,7,1.29125475883484
6,Loss,7,1.24926543235779
7,Loss,7,1.202113032341
8,Loss,7,1.17719793319702
9,Loss,7,1.21236658096313
10,Loss,7,1.19721496105194
11,Loss,7,1.26791822910309
12,Loss,7,1.26518368721008
13,Loss,7,1.23145961761475
14,Loss,7,1.11196458339691
15,Loss,7,1.17062187194824
1,Acc,8,0.158147931098938
2,Acc,8,0.159350574016571
3,Acc,8,0.217077568173408
4,Acc,8,0.282020449638367
5,Acc,8,0.274203240871429
6,Acc,8,0.263980746269226
7,Acc,8,0.27059531211853
8,Acc,8,0.283223092556
9,Acc,8,0.298857480287552
10,Acc,8,0.300060123205185
11,Acc,8,0.321106433868408
12,Acc,8,0.348165959119797
13,Acc,8,0.350571244955063
14,Acc,8,0.360793739557266
15,Acc,8,0.384245336055756
1,Loss,8,1.79162001609802
2,Loss,8,1.6327109336853
3,Loss,8,1.42262852191925
4,Loss,8,1.27303516864777
5,Loss,8,1.27771151065826
6,Loss,8,1.29856693744659
7,Loss,8,1.3137354850769
8,Loss,8,1.30829477310181
9,Loss,8,1.28549373149872
10,Loss,8,1.28022968769073
11,Loss,8,1.26728594303131
12,Loss,8,1.23191654682159
13,Loss,8,1.2288224697113
14,Loss,8,1.20838022232056
15,Loss,8,1.1627436876297
1,Acc,9,0.097777776420117
2,Acc,9,0.107936508953571
3,Acc,9,0.168253973126411
4,Acc,9,0.142222225666046
5,Acc,9,0.217142850160599
6,Acc,9,0.365079373121262
7,Acc,9,0.37333333492279
8,Acc,9,0.319365084171295
9,Acc,9,0.269841283559799
10,Acc,9,0.234285712242126
11,Acc,9,0.202539682388306
12,Acc,9,0.197460323572159
13,Acc,9,0.447619050741196
14,Acc,9,0.352380961179733
15,Acc,9,0.322539687156677
1,Loss,9,2.2431058883667
2,Loss,9,1.87295460700989
3,Loss,9,1.59013080596924
4,Loss,9,1.56835997104645
5,Loss,9,1.36809384822845
6,Loss,9,1.19120156764984
7,Loss,9,1.18417751789093
8,Loss,9,1.22846806049347
9,Loss,9,1.28278875350952
10,Loss,9,1.33460235595703
11,Loss,9,1.39474129676819
12,Loss,9,1.46481740474701
13,Loss,9,1.12034499645233
14,Loss,9,1.22167360782623
15,Loss,9,1.25668239593506
